dataset,lambda,seed,metric,n_confident,n_uncertain,median_confident,median_uncertain,U,p_value,cliffs_delta,effect
telco,1.0,5,spearman,1287,471,0.3333333333333334,0.28571428571428575,312666.5,0.30946716192524526,0.03160133096438833,negligible
telco,1.0,5,kendall,1287,471,0.23809523809523814,0.2,311510.0,0.3707979814709733,0.027785613772874918,negligible
telco,1.0,5,jaccard,1287,471,0.6666666666666666,0.6666666666666666,289323.0,0.10873186269359607,-0.04541742758303269,negligible
telco,1.0,6,spearman,1265,493,0.4642857142857144,0.5428571428571429,264125.0,6.001885777748314e-07,-0.15296362513930206,small
telco,1.0,6,kendall,1265,493,0.3333333333333333,0.39999999999999997,267670.5,3.590970121549526e-06,-0.1415933744357768,negligible
telco,1.0,6,jaccard,1265,493,0.6666666666666666,0.6666666666666666,284879.0,0.0019147174365453368,-0.08640652935564308,negligible
telco,1.0,7,spearman,1326,432,0.2,0.2571428571428572,255112.5,0.0006329542841118815,-0.1092938243673538,negligible
telco,1.0,7,kendall,1326,432,0.14285714285714288,0.2,256981.5,0.0012912756778097093,-0.1027683509301156,negligible
telco,1.0,7,jaccard,1326,432,0.6666666666666666,0.6666666666666666,272985.0,0.10643068640371754,-0.04689332998156526,negligible
telco,1.0,8,spearman,1251,507,0.49999999999999994,0.6,278129.5,5.162264621280571e-05,-0.1229753869488236,negligible
telco,1.0,8,kendall,1251,507,0.33333333333333337,0.4285714285714286,282132.5,0.0002632160209461351,-0.11035274344626866,negligible
telco,1.0,8,jaccard,1251,507,0.6666666666666666,0.6666666666666666,294330.0,0.009581847456768329,-0.07189041666075424,negligible
telco,1.0,9,spearman,1345,413,0.39285714285714296,0.42857142857142866,261128.5,0.06548478851619743,-0.05981799688560452,negligible
telco,1.0,9,kendall,1345,413,0.3333333333333333,0.3333333333333333,257149.0,0.022079898500658432,-0.07414601654410113,negligible
telco,1.0,9,jaccard,1345,413,0.6666666666666666,0.6666666666666666,264021.5,0.09467826741799397,-0.04940187403800278,negligible
telco,1.0,10,spearman,1310,448,0.25,0.3214285714285715,250053.0,2.8808191491722923e-06,-0.14785646128680485,small
telco,1.0,10,kendall,1310,448,0.2,0.2,254191.0,2.2616018495001752e-05,-0.13375477099236643,negligible
telco,1.0,10,jaccard,1310,448,0.6666666666666666,0.6666666666666666,268175.0,0.0031708130280889645,-0.08609937295528902,negligible
telco,1.0,11,spearman,1287,471,0.14285714285714288,0.3142857142857143,258120.5,1.8289181643609222e-06,-0.14836590632768976,small
telco,1.0,11,kendall,1287,471,0.14285714285714288,0.2,265269.0,5.878876662549946e-05,-0.12478038592688279,negligible
telco,1.0,11,jaccard,1287,471,0.6666666666666666,0.6666666666666666,308222.5,0.5536253506929921,0.016938946875252547,negligible
telco,1.0,12,spearman,1285,473,0.39285714285714296,0.28571428571428575,339000.5,0.0001995238355536331,0.11549098806360591,negligible
telco,1.0,12,kendall,1285,473,0.23809523809523814,0.2,327345.5,0.012836166744843239,0.07713987216294704,negligible
telco,1.0,12,jaccard,1285,473,0.6666666666666666,0.6666666666666666,307356.5,0.6910548433101715,0.011365487286218334,negligible
telco,1.0,13,spearman,1279,479,0.10714285714285716,0.3142857142857143,246006.0,1.9386827936498664e-10,-0.19689997894362277,small
telco,1.0,13,kendall,1279,479,0.06666666666666665,0.2,246928.5,3.4638821194216307e-10,-0.19388842731714007,small
telco,1.0,13,jaccard,1279,479,0.6666666666666666,0.6666666666666666,292741.0,0.1175903461749765,-0.044331019308208264,negligible
telco,1.0,14,spearman,1291,467,0.0,0.3571428571428572,223702.0,1.322685413218082e-16,-0.25790972587357375,small
telco,1.0,14,kendall,1291,467,-0.04761904761904762,0.2,225138.5,4.46170479623057e-16,-0.25314440111660863,small
telco,1.0,14,jaccard,1291,467,0.42857142857142855,0.6666666666666666,279476.5,0.011887635761352756,-0.07288807209191617,negligible
telco,1.0,15,spearman,1332,426,0.3214285714285715,0.3714285714285715,253420.0,0.0008890156697873027,-0.10678283917720532,negligible
telco,1.0,15,kendall,1332,426,0.23809523809523814,0.23809523809523814,256150.5,0.0024357317616213545,-0.09715877849680665,negligible
telco,1.0,15,jaccard,1332,426,0.6666666666666666,0.6666666666666666,239492.5,1.1787895783629958e-07,-0.15587242171749216,small
telco,1.0,16,spearman,1258,500,0.3714285714285715,0.48571428571428577,279888.5,0.0003114302238838165,-0.11005246422893478,negligible
telco,1.0,16,kendall,1258,500,0.23809523809523814,0.3333333333333333,280023.0,0.00032113139817201576,-0.10962480127186014,negligible
telco,1.0,16,jaccard,1258,500,0.6666666666666666,0.6666666666666666,313532.5,0.9131871571395127,-0.003076311605723414,negligible
telco,1.0,17,spearman,1314,444,0.2,0.2,284615.0,0.4429752673239681,-0.024315411301712664,negligible
telco,1.0,17,kendall,1314,444,0.14285714285714288,0.14285714285714288,287552.5,0.6527116208917819,-0.01424540979335498,negligible
telco,1.0,17,jaccard,1314,444,0.6666666666666666,0.6666666666666666,262843.0,0.0006767185747490317,-0.09895169141744486,negligible
telco,1.0,18,spearman,1269,489,0.25,0.2,326432.0,0.09007539441813894,0.05208841962094368,negligible
telco,1.0,18,kendall,1269,489,0.19999999999999998,0.14285714285714288,320287.0,0.29242280181928104,0.032283120696295686,negligible
telco,1.0,18,jaccard,1269,489,0.6666666666666666,0.6666666666666666,314469.0,0.630600902760756,0.013531740851933982,negligible
telco,1.0,19,spearman,1231,527,0.5428571428571429,0.6,276543.0,9.19069069882587e-07,-0.14744187552120502,small
telco,1.0,19,kendall,1231,527,0.39999999999999997,0.4666666666666666,273392.5,1.490365637426229e-07,-0.15715459423464362,small
telco,1.0,19,jaccard,1231,527,0.6666666666666666,0.6666666666666666,268621.5,3.642871440017255e-10,-0.17186317413682273,small
telco,1.5,0,spearman,1278,480,0.028571428571428574,0.3571428571428572,205807.5,1.8680188962900265e-26,-0.32900528169014087,small
telco,1.5,0,kendall,1278,480,0.04761904761904762,0.2,216106.5,1.1220722233526927e-21,-0.2954274256651017,small
telco,1.5,0,jaccard,1278,480,0.42857142857142855,0.42857142857142855,296459.0,0.2397623209981714,-0.033453964527908164,negligible
telco,1.5,1,spearman,1342,416,0.14285714285714288,0.28571428571428575,224369.5,1.402641350384677e-09,-0.1962000601857159,small
telco,1.5,1,kendall,1342,416,0.06666666666666665,0.2,223611.5,7.959630045203794e-10,-0.1989155823684512,small
telco,1.5,1,jaccard,1342,416,0.42857142857142855,0.6666666666666666,228719.5,1.589968859762681e-09,-0.18061625874125875,small
telco,1.5,2,spearman,1310,448,0.0,0.09999999999999999,244173.5,1.080390690381635e-07,-0.16789292529989097,small
telco,1.5,2,kendall,1310,448,-0.04761904761904762,0.06666666666666665,244430.5,1.2239815185398992e-07,-0.16701710741548526,small
telco,1.5,2,jaccard,1310,448,0.42857142857142855,0.6666666666666666,224603.5,2.5054522714088418e-15,-0.23458458287895312,small
telco,1.5,3,spearman,1251,507,0.14285714285714288,0.28571428571428575,271439.5,2.141943036641768e-06,-0.14407093654464986,negligible
telco,1.5,3,kendall,1251,507,0.06666666666666665,0.2,266164.5,1.2120093289159706e-07,-0.1607045724367252,small
telco,1.5,3,jaccard,1251,507,0.42857142857142855,0.42857142857142855,300363.5,0.06006971052019701,-0.052865005825714184,negligible
telco,1.5,4,spearman,1353,405,0.14285714285714288,0.25,227068.0,1.6439546244414124e-07,-0.1712317392534195,small
telco,1.5,4,kendall,1353,405,0.06666666666666665,0.2,222482.0,8.728306059091055e-09,-0.18797003458250072,small
telco,1.5,4,jaccard,1353,405,0.42857142857142855,0.6666666666666666,227642.0,1.5740722508525652e-08,-0.16913671493617288,small
telco,1.5,5,spearman,1287,471,0.0,0.14285714285714288,235938.0,1.0427188908183083e-12,-0.22155410053499225,small
telco,1.5,5,kendall,1287,471,-0.04761904761904762,0.14285714285714288,234453.0,3.142560082110259e-13,-0.22645365957467867,small
telco,1.5,5,jaccard,1287,471,0.42857142857142855,0.6666666666666666,265511.5,1.766822224471349e-05,-0.1239802895853851,negligible
telco,1.5,6,spearman,1265,493,0.3142857142857143,0.2571428571428572,308892.5,0.7592300832938103,-0.009396371333050046,negligible
telco,1.5,6,kendall,1265,493,0.2,0.2,308495.0,0.7273056931809292,-0.01067113502072492,negligible
telco,1.5,6,jaccard,1265,493,0.6666666666666666,0.6666666666666666,304390.0,0.39759823791751026,-0.023835675745015217,negligible
telco,1.5,7,spearman,1326,432,-0.028571428571428574,0.2142857142857143,200604.5,7.499359318411448e-21,-0.299604421540696,small
telco,1.5,7,kendall,1326,432,0.04761904761904762,0.17142857142857143,205925.0,1.4320615190392756e-18,-0.2810282945086867,small
telco,1.5,7,jaccard,1326,432,0.42857142857142855,0.6666666666666666,257129.0,0.0005436741066697352,-0.10225336573375787,negligible
telco,1.5,8,spearman,1251,507,0.1785714285714286,0.48571428571428577,215996.0,9.469280398360684e-26,-0.31890069798204823,small
telco,1.5,8,kendall,1251,507,0.14285714285714288,0.3333333333333333,219112.0,2.3806555105092704e-24,-0.309075027946085,small
telco,1.5,8,jaccard,1251,507,0.6666666666666666,0.6666666666666666,248044.0,9.991926163219509e-15,-0.21784387085991952,small
telco,1.5,9,spearman,1345,413,0.3,0.28571428571428575,264933.0,0.15562684670215607,-0.04612005724727042,negligible
telco,1.5,9,kendall,1345,413,0.2,0.2,256881.0,0.020531205604677128,-0.07511093908926436,negligible
telco,1.5,9,jaccard,1345,413,0.6666666666666666,0.6666666666666666,238217.5,1.891456167782719e-06,-0.14230807312528693,negligible
telco,1.5,10,spearman,1310,448,0.14285714285714288,0.27142857142857146,231432.0,2.274093004715382e-11,-0.2113140676117775,small
telco,1.5,10,kendall,1310,448,0.06666666666666665,0.2,234219.0,1.6237770130140934e-10,-0.2018163849509269,small
telco,1.5,10,jaccard,1310,448,0.6666666666666666,0.6666666666666666,260441.0,0.00011402888774913766,-0.11245569792802612,negligible
telco,1.5,11,spearman,1287,471,0.0,0.10714285714285716,257097.5,1.0605404045158556e-06,-0.15174115811058486,small
telco,1.5,11,kendall,1287,471,0.0,0.06666666666666665,260953.5,7.643917987055926e-06,-0.13901880143918366,negligible
telco,1.5,11,jaccard,1287,471,0.42857142857142855,0.6666666666666666,275861.0,0.0016766439453558529,-0.08983349747680958,negligible
telco,1.5,12,spearman,1285,473,0.07142857142857144,0.08571428571428573,293132.5,0.2537670166789423,-0.035438997704856035,negligible
telco,1.5,12,kendall,1285,473,0.04761904761904762,0.06666666666666665,281683.0,0.018408455642963364,-0.07311390988886235,negligible
telco,1.5,12,jaccard,1285,473,0.42857142857142855,0.42857142857142855,269028.0,5.975662011087675e-05,-0.11475555482432687,negligible
